,Tram_2,Tram_10,Tram_13,Tram_24,Tram_38
529,6.0,7.0,6.0,19.0,10.0
530,8.0,7.0,7.0,14.0,3.0
531,12.0,7.0,10.0,11.0,16.0
532,11.0,6.0,11.0,15.0,14.0
533,11.0,8.0,9.0,14.0,17.0
534,9.0,11.0,3.0,13.0,22.0
535,8.0,8.0,16.0,9.0,18.0
536,9.0,11.0,15.0,10.0,17.0
537,9.0,12.0,18.0,13.0,15.0
538,7.0,13.0,23.0,16.0,8.0
539,5.0,18.0,21.0,15.0,15.0
540,8.0,12.0,10.0,15.0,10.0
541,4.0,16.0,17.0,18.0,1.0
542,7.0,12.0,13.0,21.0,13.0
543,5.0,13.0,14.0,25.0,14.0
544,5.0,12.0,11.0,15.0,16.0
545,7.0,10.0,7.0,15.0,1.0
546,6.0,9.0,13.0,8.0,6.0
547,5.0,7.0,6.0,11.0,6.0
548,5.0,7.0,8.0,4.0,10.0
549,4.0,8.0,8.0,4.0,8.0
550,4.0,9.0,13.0,11.0,11.0
551,6.0,8.0,12.0,4.0,5.0
552,5.0,10.0,12.0,13.0,11.0
553,5.0,11.0,11.0,16.0,12.0
554,7.0,13.0,15.0,18.0,9.0
555,6.0,10.0,10.0,13.0,14.0
556,6.0,12.0,6.0,16.0,11.0
557,21.0,31.0,30.0,40.0,13.0
558,28.0,28.0,23.0,27.0,20.0
559,25.0,22.0,27.0,29.0,25.0
560,24.0,22.0,32.0,33.0,30.0
561,22.0,21.0,27.0,29.0,25.0
562,20.0,20.0,30.0,27.0,26.0
563,20.0,21.0,23.0,27.0,20.0
564,20.0,24.0,18.0,19.0,20.0
565,21.0,24.0,11.0,19.0,19.0
566,23.0,21.0,13.0,20.0,14.0
567,24.0,23.0,18.0,26.0,14.0
568,24.0,24.0,23.0,22.0,19.0
569,21.0,24.0,20.0,22.0,23.0
570,21.0,22.0,33.0,22.0,19.0
571,21.0,22.0,24.0,30.0,24.0
572,22.0,20.0,20.0,23.0,19.0
573,19.0,20.0,24.0,21.0,25.0
574,15.0,19.0,29.0,21.0,18.0
575,15.0,17.0,18.0,21.0,22.0
576,13.0,15.0,21.0,22.0,18.0
577,14.0,17.0,17.0,25.0,14.0
578,15.0,14.0,18.0,19.0,18.0
579,16.0,17.0,18.0,25.0,22.0
580,15.0,15.0,22.0,16.0,21.0
581,12.0,15.0,23.0,15.0,15.0
582,11.0,15.0,17.0,16.0,15.0
583,14.0,14.0,18.0,25.0,13.0
584,21.0,15.0,15.0,20.0,19.0
585,9.0,18.0,16.0,18.0,19.0
586,7.0,17.0,19.0,21.0,11.0
587,9.0,14.0,14.0,14.0,13.0
588,10.0,16.0,11.0,10.0,2.0
589,7.0,12.0,9.0,16.0,6.0
590,10.0,11.0,7.0,11.0,11.0
591,10.0,13.0,11.0,15.0,9.0
592,9.0,12.0,13.0,11.0,9.0
593,10.0,10.0,10.0,16.0,9.0
594,9.0,10.0,8.0,18.0,9.0
595,8.0,10.0,8.0,18.0,10.0
596,7.0,9.0,10.0,13.0,13.0
597,7.0,11.0,9.0,22.0,12.0
598,7.0,9.0,7.0,11.0,14.0
599,8.0,11.0,9.0,15.0,12.0
600,6.0,9.0,8.0,12.0,7.0
601,6.0,8.0,11.0,8.0,7.0
602,5.0,9.0,12.0,14.0,3.0
603,6.0,8.0,3.0,10.0,5.0
604,6.0,9.0,12.0,10.0,10.0
605,7.0,8.0,11.0,14.0,9.0
606,4.0,7.0,13.0,8.0,5.0
607,5.0,7.0,16.0,15.0,18.0
608,6.0,10.0,11.0,11.0,22.0
609,8.0,17.0,22.0,16.0,9.0
610,11.0,11.0,15.0,12.0,12.0
611,13.0,18.0,22.0,14.0,9.0
612,11.0,18.0,14.0,17.0,22.0
613,8.0,19.0,13.0,12.0,23.0
614,12.0,16.0,20.0,20.0,19.0
615,11.0,17.0,20.0,19.0,14.0
616,8.0,18.0,20.0,24.0,14.0
617,13.0,14.0,14.0,18.0,14.0
618,11.0,13.0,16.0,18.0,18.0
619,10.0,14.0,13.0,18.0,12.0
620,11.0,12.0,16.0,11.0,11.0
621,8.0,11.0,14.0,16.0,14.0
622,6.0,10.0,18.0,17.0,7.0
623,8.0,13.0,13.0,18.0,8.0
624,8.0,12.0,13.0,10.0,9.0
625,6.0,11.0,12.0,15.0,6.0
